LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,,GDP per capita 
GBR,GDP,TOT,MLN_USD,A,1980,484057.29,,GBR,POP,TOT,MLN_PER,A,1980,56.329673,,8593.291319
GBR,GDP,TOT,MLN_USD,A,1981,525685.72,,GBR,POP,TOT,MLN_PER,A,1981,56.357464,,9327.703603
GBR,GDP,TOT,MLN_USD,A,1982,569298.517,,GBR,POP,TOT,MLN_PER,A,1982,56.290711,,10113.54284
GBR,GDP,TOT,MLN_USD,A,1983,616573.003,,GBR,POP,TOT,MLN_PER,A,1983,56.315677,,10948.51444
GBR,GDP,TOT,MLN_USD,A,1984,653312.635,,GBR,POP,TOT,MLN_PER,A,1984,56.409327,,11581.64207
GBR,GDP,TOT,MLN_USD,A,1985,701925.771,,GBR,POP,TOT,MLN_PER,A,1985,56.553955,,12411.61243
GBR,GDP,TOT,MLN_USD,A,1986,738620.211,,GBR,POP,TOT,MLN_PER,A,1986,56.683835,,13030.52645
GBR,GDP,TOT,MLN_USD,A,1987,797699.242,,GBR,POP,TOT,MLN_PER,A,1987,56.803958,,14043.02218
GBR,GDP,TOT,MLN_USD,A,1988,873178.007,,GBR,POP,TOT,MLN_PER,A,1988,56.916448,,15341.4002
GBR,GDP,TOT,MLN_USD,A,1989,930798.947,,GBR,POP,TOT,MLN_PER,A,1989,57.076451,,16307.93314
GBR,GDP,TOT,MLN_USD,A,1990,972727.331,,GBR,POP,TOT,MLN_PER,A,1990,57.237493,,16994.5831
GBR,GDP,TOT,MLN_USD,A,1991,994529.34,,GBR,POP,TOT,MLN_PER,A,1991,57.438658,,17314.63399
GBR,GDP,TOT,MLN_USD,A,1992,1021273.532,,GBR,POP,TOT,MLN_PER,A,1992,57.58453,,17735.20652
GBR,GDP,TOT,MLN_USD,A,1993,1071500.82,,GBR,POP,TOT,MLN_PER,A,1993,57.713889,,18565.73588
GBR,GDP,TOT,MLN_USD,A,1994,1136471.417,,GBR,POP,TOT,MLN_PER,A,1994,57.862145,,19641.01775
GBR,GDP,TOT,MLN_USD,A,1995,1193940.042,,GBR,POP,TOT,MLN_PER,A,1995,58.024799,,20576.37532
GBR,GDP,TOT,MLN_USD,A,1996,1275075.509,,GBR,POP,TOT,MLN_PER,A,1996,58.164374,,21921.93299
GBR,GDP,TOT,MLN_USD,A,1997,1343714.172,,GBR,POP,TOT,MLN_PER,A,1997,58.314249,,23042.63872
GBR,GDP,TOT,MLN_USD,A,1998,1385124.539,,GBR,POP,TOT,MLN_PER,A,1998,58.474943,,23687.48849
GBR,GDP,TOT,MLN_USD,A,1999,1435578.566,,GBR,POP,TOT,MLN_PER,A,1999,58.684427,,24462.68353
GBR,GDP,TOT,MLN_USD,A,2000,1559692.367,,GBR,POP,TOT,MLN_PER,A,2000,58.886065,,26486.61219
GBR,GDP,TOT,MLN_USD,A,2001,1644661.001,,GBR,POP,TOT,MLN_PER,A,2001,59.113016,,27822.31583
GBR,GDP,TOT,MLN_USD,A,2002,1725433.293,,GBR,POP,TOT,MLN_PER,A,2002,59.365677,,29064.49282
GBR,GDP,TOT,MLN_USD,A,2003,1808753.062,,GBR,POP,TOT,MLN_PER,A,2003,59.636662,,30329.54899
GBR,GDP,TOT,MLN_USD,A,2004,1921522.812,,GBR,POP,TOT,MLN_PER,A,2004,59.950364,,32051.89566
GBR,GDP,TOT,MLN_USD,A,2005,1977979.631,,GBR,POP,TOT,MLN_PER,A,2005,60.413276,,32740.81066
GBR,GDP,TOT,MLN_USD,A,2006,2117406.787,,GBR,POP,TOT,MLN_PER,A,2006,60.827067,,34810.27265
GBR,GDP,TOT,MLN_USD,A,2007,2186268.32,,GBR,POP,TOT,MLN_PER,A,2007,61.319075,,35653.96771
GBR,GDP,TOT,MLN_USD,A,2008,2278426.918,,GBR,POP,TOT,MLN_PER,A,2008,61.823772,,36853.57338
GBR,GDP,TOT,MLN_USD,A,2009,2194513.659,,GBR,POP,TOT,MLN_PER,A,2009,62.260486,,35247.29407
GBR,GDP,TOT,MLN_USD,A,2010,2297532.502,,GBR,POP,TOT,MLN_PER,A,2010,62.759456,,36608.54712
GBR,GDP,TOT,MLN_USD,A,2011,2364569.348,,GBR,POP,TOT,MLN_PER,A,2011,63.285145,,37363.73438
GBR,GDP,TOT,MLN_USD,A,2012,2453352.31,,GBR,POP,TOT,MLN_PER,A,2012,63.70503,,38511.124
GBR,GDP,TOT,MLN_USD,A,2013,2579158.897,,GBR,POP,TOT,MLN_PER,A,2013,64.105654,,40232.93947
GBR,GDP,TOT,MLN_USD,A,2014,2686204.365,,GBR,POP,TOT,MLN_PER,A,2014,64.596752,,41584.20171
GBR,GDP,TOT,MLN_USD,A,2015,2794323.894,,GBR,POP,TOT,MLN_PER,A,2015,65.110034,,42916.94724
GBR,GDP,TOT,MLN_USD,A,2016,2928594.414,,GBR,POP,TOT,MLN_PER,A,2016,65.648054,,44610.52896
GBR,GDP,TOT,MLN_USD,A,2017,3063307.239,,GBR,POP,TOT,MLN_PER,A,2017,66.040229,,46385.47269
GBR,GDP,TOT,MLN_USD,A,2018,3181006.985,,GBR,POP,TOT,MLN_PER,A,2018,66.43555,,47881.09657
GBR,GDP,TOT,MLN_USD,A,2019,3297286.361,,GBR,POP,TOT,MLN_PER,A,2019,66.796807,,49362.93379
GBR,GDP,TOT,MLN_USD,A,2020,3082000.35,,GBR,POP,TOT,MLN_PER,A,2020,67.081234,,45944.30016
