,Position,Bank,2021 Fees,Bank,Rank,2020-21 Pay
0,6,Barclays,4480.84,Barclays,Analyst2,55
1,6,Barclays,4480.84,Barclays,Associate2,105
2,6,Barclays,4480.84,Barclays,Associate3,120
3,6,Barclays,4480.84,Barclays,VP1,140
4,6,Barclays,4480.84,Barclays,VP2,145
5,6,Barclays,4480.84,Barclays,VP3,155
6,6,Barclays,4480.84,Barclays,Associate1,90
7,6,Barclays,4480.84,Barclays,Analyst3,60
8,6,Barclays,4480.84,Barclays,Analyst1,50
9,4,Bofa Securities Inc,8566.60,Bofa Securities Inc,Analyst3,N/A
10,4,Bofa Securities Inc,8566.60,Bofa Securities Inc,Analyst1,62.5
11,4,Bofa Securities Inc,8566.60,Bofa Securities Inc,Analyst2,65.5
12,4,Bofa Securities Inc,8566.60,Bofa Securities Inc,Associate1,105
13,4,Bofa Securities Inc,8566.60,Bofa Securities Inc,Associate2,120
14,4,Bofa Securities Inc,8566.60,Bofa Securities Inc,VP1,165
15,4,Bofa Securities Inc,8566.60,Bofa Securities Inc,VP2,165
16,4,Bofa Securities Inc,8566.60,Bofa Securities Inc,VP3,165
17,4,Bofa Securities Inc,8566.60,Bofa Securities Inc,Associate3,135
18,5,Citi,6653.19,Citi,Associate1,90
19,5,Citi,6653.19,Citi,Analyst3,60
20,5,Citi,6653.19,Citi,Analyst1,50
21,5,Citi,6653.19,Citi,Associate3,120
22,5,Citi,6653.19,Citi,VP1,135
23,5,Citi,6653.19,Citi,VP2,150
24,5,Citi,6653.19,Citi,VP3,150
25,5,Citi,6653.19,Citi,Analyst2,55
26,5,Citi,6653.19,Citi,Associate2,105
27,7,Credit Suisse,4470.06,Credit Suisse,Analyst1,50
28,7,Credit Suisse,4470.06,Credit Suisse,VP3,150
29,7,Credit Suisse,4470.06,Credit Suisse,VP2,150
30,7,Credit Suisse,4470.06,Credit Suisse,VP1,150
31,7,Credit Suisse,4470.06,Credit Suisse,Associate3,120
32,7,Credit Suisse,4470.06,Credit Suisse,Associate1,90
33,7,Credit Suisse,4470.06,Credit Suisse,Analyst3,60
34,7,Credit Suisse,4470.06,Credit Suisse,Analyst2,55
35,7,Credit Suisse,4470.06,Credit Suisse,Associate2,105
36,8,Deutsche Bank,3050.81,Deutsche Bank,VP3,155
37,8,Deutsche Bank,3050.81,Deutsche Bank,VP1,140
38,8,Deutsche Bank,3050.81,Deutsche Bank,Associate3,120
39,8,Deutsche Bank,3050.81,Deutsche Bank,Associate2,105
40,8,Deutsche Bank,3050.81,Deutsche Bank,VP2,155
41,8,Deutsche Bank,3050.81,Deutsche Bank,Associate1,90
42,8,Deutsche Bank,3050.81,Deutsche Bank,Analyst3,N/A
43,8,Deutsche Bank,3050.81,Deutsche Bank,Analyst2,55
44,8,Deutsche Bank,3050.81,Deutsche Bank,Analyst1,50
45,2,Goldman Sachs & Co,11426.88,Goldman Sachs & Co,Analyst1,50
46,2,Goldman Sachs & Co,11426.88,Goldman Sachs & Co,VP2,150
47,2,Goldman Sachs & Co,11426.88,Goldman Sachs & Co,VP1,150
48,2,Goldman Sachs & Co,11426.88,Goldman Sachs & Co,Associate3,122
49,2,Goldman Sachs & Co,11426.88,Goldman Sachs & Co,Associate2,106
50,2,Goldman Sachs & Co,11426.88,Goldman Sachs & Co,Associate1,91
51,2,Goldman Sachs & Co,11426.88,Goldman Sachs & Co,Analyst3,N/A
52,2,Goldman Sachs & Co,11426.88,Goldman Sachs & Co,Analyst2,60
53,2,Goldman Sachs & Co,11426.88,Goldman Sachs & Co,VP3,150
54,1,JP Morgan,12785.96,JP Morgan,Analyst1,50
55,1,JP Morgan,12785.96,JP Morgan,Associate3,120
56,1,JP Morgan,12785.96,JP Morgan,Analyst2,55
57,1,JP Morgan,12785.96,JP Morgan,Analyst3,60
58,1,JP Morgan,12785.96,JP Morgan,Associate1,90
59,1,JP Morgan,12785.96,JP Morgan,Associate2,105
60,1,JP Morgan,12785.96,JP Morgan,VP1,145
61,1,JP Morgan,12785.96,JP Morgan,VP2,155
62,1,JP Morgan,12785.96,JP Morgan,VP3,160
63,3,Morgan Stanley,9025.87,Morgan Stanley,VP3,170
64,3,Morgan Stanley,9025.87,Morgan Stanley,Analyst2,55
65,3,Morgan Stanley,9025.87,Morgan Stanley,Analyst3,N/A
66,3,Morgan Stanley,9025.87,Morgan Stanley,Associate1,98
67,3,Morgan Stanley,9025.87,Morgan Stanley,Associate2,123
68,3,Morgan Stanley,9025.87,Morgan Stanley,Associate3,123
69,3,Morgan Stanley,9025.87,Morgan Stanley,VP1,170
70,3,Morgan Stanley,9025.87,Morgan Stanley,VP2,170
71,3,Morgan Stanley,9025.87,Morgan Stanley,Analyst1,50
