,Position,Bank,2021 Fees,Bank,2020-21 Pay,Rank
0,6,Barclays,4480.84,Barclays,287000,VP 3
1,6,Barclays,4480.84,Barclays,175000,Associate 2
2,6,Barclays,4480.84,Barclays,202000,Associate 3
3,6,Barclays,4480.84,Barclays,151000,Associate 1
4,6,Barclays,4480.84,Barclays,269000,VP 2
5,6,Barclays,4480.84,Barclays,242000,VP 1
6,4,Bofa Securities Inc,8566.60,Bofa Securities Inc,320000,VP 3
7,4,Bofa Securities Inc,8566.60,Bofa Securities Inc,170000,Associate 1
8,4,Bofa Securities Inc,8566.60,Bofa Securities Inc,270000,VP 1
9,4,Bofa Securities Inc,8566.60,Bofa Securities Inc,289000,VP 2
10,4,Bofa Securities Inc,8566.60,Bofa Securities Inc,228000,Associate 3
11,4,Bofa Securities Inc,8566.60,Bofa Securities Inc,213000,Associate 2
12,5,Citi,6653.19,Citi,256000,VP 1
13,5,Citi,6653.19,Citi,226000,Associate 3
14,5,Citi,6653.19,Citi,165000,Associate 1
15,5,Citi,6653.19,Citi,316000,VP 3
16,5,Citi,6653.19,Citi,203000,Associate 2
17,5,Citi,6653.19,Citi,291000,VP 2
18,7,Credit Suisse,4470.06,Credit Suisse,218000,Associate 3
19,7,Credit Suisse,4470.06,Credit Suisse,287000,VP 2
20,7,Credit Suisse,4470.06,Credit Suisse,262000,VP 1
21,7,Credit Suisse,4470.06,Credit Suisse,306000,VP 3
22,7,Credit Suisse,4470.06,Credit Suisse,180000,Associate 2
23,7,Credit Suisse,4470.06,Credit Suisse,150000,Associate 1
24,8,Deutsche Bank,3050.81,Deutsche Bank,309000,VP 3
25,8,Deutsche Bank,3050.81,Deutsche Bank,158000,Associate 1
26,8,Deutsche Bank,3050.81,Deutsche Bank,254000,VP 1
27,8,Deutsche Bank,3050.81,Deutsche Bank,188000,Associate 2
28,8,Deutsche Bank,3050.81,Deutsche Bank,225000,Associate 3
29,8,Deutsche Bank,3050.81,Deutsche Bank,293000,VP 2
30,2,Goldman Sachs & Co,11426.88,Goldman Sachs & Co,233000,Associate 3
31,2,Goldman Sachs & Co,11426.88,Goldman Sachs & Co,248000,VP 1
32,2,Goldman Sachs & Co,11426.88,Goldman Sachs & Co,170000,Associate 1
33,2,Goldman Sachs & Co,11426.88,Goldman Sachs & Co,315000,VP 3
34,2,Goldman Sachs & Co,11426.88,Goldman Sachs & Co,295000,VP 2
35,2,Goldman Sachs & Co,11426.88,Goldman Sachs & Co,198000,Associate 2
36,1,JP Morgan,12785.96,JP Morgan,174000,Associate 1
37,1,JP Morgan,12785.96,JP Morgan,332000,VP 3
38,1,JP Morgan,12785.96,JP Morgan,304000,VP 2
39,1,JP Morgan,12785.96,JP Morgan,232000,Associate 3
40,1,JP Morgan,12785.96,JP Morgan,270000,VP 1
41,1,JP Morgan,12785.96,JP Morgan,195000,Associate 2
42,3,Morgan Stanley,9025.87,Morgan Stanley,171000,Associate 1
43,3,Morgan Stanley,9025.87,Morgan Stanley,239000,Associate 3
44,3,Morgan Stanley,9025.87,Morgan Stanley,212000,Associate 2
45,3,Morgan Stanley,9025.87,Morgan Stanley,297000,VP 1
46,3,Morgan Stanley,9025.87,Morgan Stanley,342000,VP 3
47,3,Morgan Stanley,9025.87,Morgan Stanley,314000,VP 2
