,BAN,1,0
1,JPMorgan,20-21,50
3,JPMorgan,20-21,55
5,JPMorgan,20-21,60
7,JPMorgan,20-21,90
9,JPMorgan,20-21,105
11,JPMorgan,20-21,120
13,JPMorgan,20-21,145
15,JPMorgan,20-21,155
17,JPMorgan,20-21,160
19,GoldmanSachs,20-21,50
21,GoldmanSachs,20-21,60
23,GoldmanSachs,20-21,N/A
25,GoldmanSachs,20-21,91
27,GoldmanSachs,20-21,106
29,GoldmanSachs,20-21,122
31,GoldmanSachs,20-21,150
33,GoldmanSachs,20-21,150
35,GoldmanSachs,20-21,150
37,MorganStanley,20-21,50
39,MorganStanley,20-21,55
41,MorganStanley,20-21,N/A
43,MorganStanley,20-21,98
45,MorganStanley,20-21,123
47,MorganStanley,20-21,123
49,MorganStanley,20-21,170
51,MorganStanley,20-21,170
53,MorganStanley,20-21,170
55,BAML,20-21,62.5
57,BAML,20-21,65.5
59,BAML,20-21,N/A
61,BAML,20-21,105
63,BAML,20-21,120
65,BAML,20-21,135
67,BAML,20-21,165
69,BAML,20-21,165
71,BAML,20-21,165
73,CITI,20-21,50
75,CITI,20-21,55
77,CITI,20-21,60
79,CITI,20-21,90
81,CITI,20-21,105
83,CITI,20-21,120
85,CITI,20-21,135
87,CITI,20-21,150
89,CITI,20-21,150
91,DeutscheBan,20-21,50
93,DeutscheBan,20-21,55
95,DeutscheBan,20-21,N/A
97,DeutscheBan,20-21,90
99,DeutscheBan,20-21,105
101,DeutscheBan,20-21,120
103,DeutscheBan,20-21,140
105,DeutscheBan,20-21,155
107,DeutscheBan,20-21,155
109,Barclays,20-21,50
111,Barclays,20-21,55
113,Barclays,20-21,60
115,Barclays,20-21,90
117,Barclays,20-21,105
119,Barclays,20-21,120
121,Barclays,20-21,140
123,Barclays,20-21,145
125,Barclays,20-21,155
127,CreditSuisse,20-21,50
129,CreditSuisse,20-21,55
131,CreditSuisse,20-21,60
133,CreditSuisse,20-21,90
135,CreditSuisse,20-21,105
137,CreditSuisse,20-21,120
139,CreditSuisse,20-21,150
141,CreditSuisse,20-21,150
143,CreditSuisse,20-21,150
145,UBS,20-21,50
147,UBS,20-21,58
149,UBS,20-21,60
151,UBS,20-21,95
153,UBS,20-21,110
155,UBS,20-21,122
157,UBS,20-21,150
159,UBS,20-21,150
161,UBS,20-21,150
