LEVEL,0,0
JPMorgan,Analyst1,50
JPMorgan,Analyst2,55
JPMorgan,Analyst3,60
JPMorgan,Associate1,90
JPMorgan,Associate2,105
JPMorgan,Associate3,120
JPMorgan,VP1,145
JPMorgan,VP2,155
JPMorgan,VP3,160
GoldmanSachs,Analyst1,50
GoldmanSachs,Analyst2,60
GoldmanSachs,Analyst3,N/A
GoldmanSachs,Associate1,91
GoldmanSachs,Associate2,106
GoldmanSachs,Associate3,122
GoldmanSachs,VP1,150
GoldmanSachs,VP2,150
GoldmanSachs,VP3,150
MorganStanley,Analyst1,50
MorganStanley,Analyst2,55
MorganStanley,Analyst3,N/A
MorganStanley,Associate1,98
MorganStanley,Associate2,123
MorganStanley,Associate3,123
MorganStanley,VP1,170
MorganStanley,VP2,170
MorganStanley,VP3,170
BAML,Analyst1,62.5
BAML,Analyst2,65.5
BAML,Analyst3,N/A
BAML,Associate1,105
BAML,Associate2,120
BAML,Associate3,135
BAML,VP1,165
BAML,VP2,165
BAML,VP3,165
CITI,Analyst1,50
CITI,Analyst2,55
CITI,Analyst3,60
CITI,Associate1,90
CITI,Associate2,105
CITI,Associate3,120
CITI,VP1,135
CITI,VP2,150
CITI,VP3,150
DeutscheBan,Analyst1,50
DeutscheBan,Analyst2,55
DeutscheBan,Analyst3,N/A
DeutscheBan,Associate1,90
DeutscheBan,Associate2,105
DeutscheBan,Associate3,120
DeutscheBan,VP1,140
DeutscheBan,VP2,155
DeutscheBan,VP3,155
Barclays,Analyst1,50
Barclays,Analyst2,55
Barclays,Analyst3,60
Barclays,Associate1,90
Barclays,Associate2,105
Barclays,Associate3,120
Barclays,VP1,140
Barclays,VP2,145
Barclays,VP3,155
CreditSuisse,Analyst1,50
CreditSuisse,Analyst2,55
CreditSuisse,Analyst3,60
CreditSuisse,Associate1,90
CreditSuisse,Associate2,105
CreditSuisse,Associate3,120
CreditSuisse,VP1,150
CreditSuisse,VP2,150
CreditSuisse,VP3,150
UBS,Analyst1,50
UBS,Analyst2,58
UBS,Analyst3,60
UBS,Associate1,95
UBS,Associate2,110
UBS,Associate3,122
UBS,VP1,150
UBS,VP2,150
UBS,VP3,150
