0,8,Rank
BAN,2020/2021MeanTotalComp,Associate 1
JPMorgan,174000,Associate 1
GoldmanSachs,170000,Associate 1
MorganStanley,171000,Associate 1
BAML,170000,Associate 1
CITI,165000,Associate 1
DeutscheBan,158000,Associate 1
Barclays,151000,Associate 1
CreditSuisse,150000,Associate 1
UBS,160000,Associate 1
BAN,2020/2021MeanTotalComp,Associate 2
JPMorgan,195000,Associate 2
GoldmanSachs,198000,Associate 2
MorganStanley,212000,Associate 2
BAML,213000,Associate 2
CITI,203000,Associate 2
DeutscheBan,188000,Associate 2
Barclays,175000,Associate 2
CreditSuisse,180000,Associate 2
UBS,189000,Associate 2
BAN,2020/2021MeanTotalComp,Associate 3
JPMorgan,232000,Associate 3
GoldmanSachs,233000,Associate 3
MorganStanley,239000,Associate 3
BAML,228000,Associate 3
CITI,226000,Associate 3
DeutscheBan,225000,Associate 3
Barclays,202000,Associate 3
CreditSuisse,218000,Associate 3
UBS,218000,Associate 3
BAN,2020/2021MeanTotalComp,VP 1
JPMorgan,270000,VP 1
GoldmanSachs,248000,VP 1
MorganStanley,297000,VP 1
BAML,270000,VP 1
CITI,256000,VP 1
DeutscheBan,254000,VP 1
Barclays,242000,VP 1
CreditSuisse,262000,VP 1
UBS,266000,VP 1
BAN,2020/2021MeanTotalComp,VP 2
JPMorgan,304000,VP 2
GoldmanSachs,295000,VP 2
MorganStanley,314000,VP 2
BAML,289000,VP 2
CITI,291000,VP 2
DeutscheBan,293000,VP 2
Barclays,269000,VP 2
CreditSuisse,287000,VP 2
UBS,282000,VP 2
Ban,2020/2021MeanTotalComp,VP 3
JPMorgan,332000,VP 3
GoldmanSachs,315000,VP 3
MorganStanley,342000,VP 3
BAML,320000,VP 3
CITI,316000,VP 3
DeutscheBan,309000,VP 3
Barclays,287000,VP 3
CreditSuisse,306000,VP 3
UBS,308000,VP 3
